alpha,专家数,Acc@1
0.8,0,24.5900
0.8,1,26.3400
0.8,2,26.5200
0.8,3,26.3400
0.8,4,26.2900
0.7,0,24.5900
0.7,1,26.5400
0.7,2,27.2000
0.7,3,26.8000
0.7,4,26.9200
0.6,0,24.5900
0.6,1,26.1600
0.6,2,27.7200
0.6,3,27.4700
0.6,4,27.4100
0.5,0,24.5900
0.5,1,24.8300
0.5,2,28.0300
0.5,3,27.8300
0.5,4,27.8700
0.4,0,24.5900
0.4,1,22.9500
0.4,2,27.7800
0.4,3,27.8900
0.4,4,27.8200
0.3,0,24.5900
0.3,1,20.1400
0.3,2,26.6700
0.3,3,26.8300
0.3,4,27.0600
